Algorithm,Accuracy,Precision,Accuracy_max_ft_3000,Precision_max_ft_3000,Accuracy_scaling,Precision_scaling,Accuracy_num_chars,Precision_num_chars
KN,0.9052224371373307,1.0,0.9052224371373307,1.0,0.9052224371373307,1.0,0.9052224371373307,1.0
NB,0.9709864603481625,1.0,0.9709864603481625,1.0,0.9709864603481625,1.0,0.9709864603481625,1.0
RF,0.9758220502901354,0.9829059829059829,0.9758220502901354,0.9829059829059829,0.9758220502901354,0.9829059829059829,0.9758220502901354,0.9829059829059829
SVC,0.9758220502901354,0.9747899159663865,0.9758220502901354,0.9747899159663865,0.9758220502901354,0.9747899159663865,0.9758220502901354,0.9747899159663865
ETC,0.9748549323017408,0.9745762711864406,0.9748549323017408,0.9745762711864406,0.9748549323017408,0.9745762711864406,0.9748549323017408,0.9745762711864406
LR,0.9584139264990329,0.9702970297029703,0.9584139264990329,0.9702970297029703,0.9584139264990329,0.9702970297029703,0.9584139264990329,0.9702970297029703
xgb,0.9671179883945842,0.9262295081967213,0.9671179883945842,0.9262295081967213,0.9671179883945842,0.9262295081967213,0.9671179883945842,0.9262295081967213
GBDT,0.9468085106382979,0.9191919191919192,0.9468085106382979,0.9191919191919192,0.9468085106382979,0.9191919191919192,0.9468085106382979,0.9191919191919192
BgC,0.9584139264990329,0.8682170542635659,0.9584139264990329,0.8682170542635659,0.9584139264990329,0.8682170542635659,0.9584139264990329,0.8682170542635659
AdaBoost,0.9245647969052224,0.8488372093023255,0.9245647969052224,0.8488372093023255,0.9245647969052224,0.8488372093023255,0.9245647969052224,0.8488372093023255
DT,0.9303675048355899,0.8173076923076923,0.9303675048355899,0.8173076923076923,0.9303675048355899,0.8173076923076923,0.9303675048355899,0.8173076923076923
